id,tema,escopo,pergunta,indicador,ano,universo,folga_10_11,top10
c0098,paises,mundo,Quais os países com a menor taxa de suicídio?,SH.STA.SUIC.P5,2021,157,0.0769,"1. Síria (0,59) | 2. Jordânia (0,60) | 3. Egito (0,63) | 4. Palestina (0,65) | 5. Líbano (0,70) | 6. Omã (0,91) | 7. Arábia Saudita (0,95) | 8. Indonésia (1,20) | 9. Peru (1,54) | 10. Azerbaijão (1,56)"
c0099,paises,África,Quais os países com a maior taxa de suicídio na África?,SH.STA.SUIC.P5,2021,50,0.0103,"1. Lesoto (28,7) | 2. Essuatíni (27,2) | 3. África do Sul (22,3) | 4. Zimbábue (17,3) | 5. Eritreia (13,2) | 6. Moçambique (10,6) | 7. Maurício (10,5) | 8. Togo (9,34) | 9. República Centro-Africana (9,19) | 10. República Democrática do Congo (8,77)"
c0100,paises,Ásia,Quais os países com a maior taxa de suicídio na Ásia?,SH.STA.SUIC.P5,2021,43,0.0682,"1. Coreia do Sul (27,5) | 2. Mongólia (18,5) | 3. Japão (17,4) | 4. Tailândia (16,6) | 5. Sri Lanka (14,7) | 6. Cazaquistão (14,6) | 7. Índia (12,6) | 8. Nepal (10,1) | 9. Coreia do Norte (9,31) | 10. China (8,95)"
c0101,paises,União Europeia,Quais os países com a maior taxa de suicídio na União Europeia?,SH.STA.SUIC.P5,2021,25,0.0462,"1. Lituânia (22,1) | 2. Eslovênia (18,9) | 3. Bélgica (18,4) | 4. França (16,6) | 5. Hungria (16,4) | 6. Croácia (15,7) | 7. Letônia (15,2) | 8. Estônia (14,9) | 9. Finlândia (14,6) | 10. Áustria (14,5)"
c0102,paises,mundo,Em quais países é maior o risco de morrer de doença crônica?,SH.DYN.NCOM.ZS,2021,157,0.0256,"1. Lesoto (36,3%) | 2. Afeganistão (32,7%) | 3. Essuatíni (32,3%) | 4. Filipinas (31,9%) | 5. Haiti (31,6%) | 6. Zimbábue (31,2%) | 7. República Centro-Africana (30,8%) | 8. Papua-Nova Guiné (28,5%) | 9. Somália (27,6%) | 10. Eritreia (27,3%)"
c0103,paises,mundo,Em quais países é menor o risco de morrer de doença crônica?,SH.DYN.NCOM.ZS,2021,157,0.0108,"1. Coreia do Sul (6,9%) | 2. Suíça (7,5%) | 3. Israel (7,6%) | 4. Noruega (7,8%) | 5. Suécia (7,9%) | 6. Japão (8,0%) | 7. Austrália (8,3%) | 8. Chipre (8,5%) | 9. Itália (9,1%) | 10. Bélgica (9,2%)"
c0104,paises,mundo,Quais os países que mais gastam com educação em relação à economia?,SE.XPD.TOTL.GD.ZS,2022,123,0.0191,"1. Namíbia (9,4%) | 2. Cuba (8,4%) | 3. Bolívia (7,6%) | 4. Suécia (7,3%) | 5. Quirguistão (7,2%) | 6. Tunísia (6,8%) | 7. Kuwait (6,6%) | 8. Finlândia (6,4%) | 9. Dinamarca (6,4%) | 10. Bélgica (6,3%)"
c0105,paises,Europa,Quais os países que mais gastam com educação em relação à economia na Europa?,SE.XPD.TOTL.GD.ZS,2022,32,0.0061,"1. Suécia (7,3%) | 2. Finlândia (6,4%) | 3. Dinamarca (6,4%) | 4. Bélgica (6,3%) | 5. Moldávia (6,1%) | 6. Noruega (5,4%) | 7. França (5,3%) | 8. Eslovênia (5,3%) | 9. Áustria (5,3%) | 10. Alemanha (5,2%)"
c0106,paises,África,Quais os países que mais gastam com educação em relação à economia na África?,SE.XPD.TOTL.GD.ZS,2022,38,0.0189,"1. Namíbia (9,4%) | 2. Tunísia (6,8%) | 3. África do Sul (6,2%) | 4. Moçambique (6,0%) | 5. Senegal (6,0%) | 6. Marrocos (5,9%) | 7. Essuatíni (5,6%) | 8. Burkina Faso (5,3%) | 9. Serra Leoa (4,9%) | 10. Maurício (4,8%)"
c0107,paises,Ásia,Quais os países que mais gastam com educação em relação à economia na Ásia?,SE.XPD.TOTL.GD.ZS,2022,29,0.0839,"1. Quirguistão (7,2%) | 2. Kuwait (6,6%) | 3. Israel (5,9%) | 4. Coreia do Sul (5,4%) | 5. Tajiquistão (5,4%) | 6. Uzbequistão (5,2%) | 7. Omã (4,4%) | 8. Cazaquistão (4,4%) | 9. Nepal (4,1%) | 10. Índia (4,1%)"
c0108,paises,mundo,Quais os países com a maior taxa de matrícula no ensino superior?,SE.TER.ENRR,2023,102,0.014,"1. Grécia (165,1%) | 2. Finlândia (108,1%) | 3. Argentina (107,8%) | 4. Chipre (107,3%) | 5. Coreia do Sul (106,7%) | 6. Turquia (105,9%) | 7. Chile (104,7%) | 8. Austrália (104,6%) | 9. Singapura (97,3%) | 10. Noruega (95,1%)"
c0109,paises,mundo,Quais os países com a menor taxa de matrícula no ensino superior?,SE.TER.ENRR,2023,102,0.2225,"1. Tanzânia (5,2%) | 2. Burundi (6,0%) | 3. Madagascar (6,1%) | 4. Quênia (8,7%) | 5. Ruanda (8,9%) | 6. Angola (10,0%) | 7. Burkina Faso (10,1%) | 8. República do Congo (10,4%) | 9. Paquistão (10,5%) | 10. Costa do Marfim (11,6%)"
c0110,paises,Europa,Quais os países com a maior taxa de matrícula no ensino superior na Europa?,SE.TER.ENRR,2023,36,0.0371,"1. Grécia (165,1%) | 2. Finlândia (108,1%) | 3. Chipre (107,3%) | 4. Turquia (105,9%) | 5. Noruega (95,1%) | 6. Espanha (93,7%) | 7. Rússia (93,7%) | 8. Áustria (91,7%) | 9. Países Baixos (86,6%) | 10. Letônia (85,7%)"
c0111,paises,Ásia,Quais os países com a maior taxa de matrícula no ensino superior na Ásia?,SE.TER.ENRR,2023,33,0.0288,"1. Coreia do Sul (106,7%) | 2. Singapura (97,3%) | 3. Geórgia (78,3%) | 4. China (74,6%) | 5. Mongólia (67,9%) | 6. Japão (64,5%) | 7. Emirados Árabes Unidos (61,3%) | 8. Israel (57,1%) | 9. Bahrein (57,1%) | 10. Armênia (56,3%)"
